caste or ethnic group,total,geo_code,geo_level,geo_version
Chhetri,1527,23008,local,2016
Dalit Others,14,23008,local,2016
Damai/Dholi,455,23008,local,2016
Gharti/Bhujel,15,23008,local,2016
Gurung,171,23008,local,2016
Kami,466,23008,local,2016
Magar,23,23008,local,2016
Newar,3380,23008,local,2016
Others,57,23008,local,2016
Pahari,77,23008,local,2016
Sanyasi/Dasnami,12,23008,local,2016
Sarki,34,23008,local,2016
Tamang,8381,23008,local,2016
Brahman - Hill,518,23007,local,2016
Chhetri,2077,23007,local,2016
Damai/Dholi,284,23007,local,2016
Gharti/Bhujel,209,23007,local,2016
Gurung,42,23007,local,2016
Kami,879,23007,local,2016
Magar,262,23007,local,2016
Newar,2690,23007,local,2016
Others,50,23007,local,2016
Sanyasi/Dasnami,20,23007,local,2016
Sarki,171,23007,local,2016
Sherpa,695,23007,local,2016
Tamang,11334,23007,local,2016
Brahman - Hill,4283,23006,local,2016
Chhetri,4184,23006,local,2016
Dalit Others,96,23006,local,2016
Damai/Dholi,565,23006,local,2016
Danuwar,2225,23006,local,2016
Gharti/Bhujel,232,23006,local,2016
Gurung,14,23006,local,2016
Hyolmo,312,23006,local,2016
Kami,833,23006,local,2016
Magar,1081,23006,local,2016
Majhi,2439,23006,local,2016
Newar,1938,23006,local,2016
Others,44,23006,local,2016
Rai,13,23006,local,2016
Sanyasi/Dasnami,1567,23006,local,2016
Sarki,954,23006,local,2016
Sherpa,48,23006,local,2016
Sunuwar,19,23006,local,2016
Tamang,7414,23006,local,2016
Thakuri,245,23006,local,2016
Tharu,11,23006,local,2016
Badi,37,23004,local,2016
Brahman - Hill,5202,23004,local,2016
Chhetri,8678,23004,local,2016
Damai/Dholi,1027,23004,local,2016
Ghale,320,23004,local,2016
Gharti/Bhujel,358,23004,local,2016
Gurung,503,23004,local,2016
Hajam/Thakur,13,23004,local,2016
Kami,1885,23004,local,2016
Magar,1407,23004,local,2016
Majhi,2138,23004,local,2016
Newar,8508,23004,local,2016
Others,86,23004,local,2016
Pahari,252,23004,local,2016
Rai,24,23004,local,2016
Sanyasi/Dasnami,4406,23004,local,2016
Sarki,482,23004,local,2016
Sherpa,50,23004,local,2016
Tamang,10785,23004,local,2016
Teli,11,23004,local,2016
Terai Others,13,23004,local,2016
Thakuri,248,23004,local,2016
Tharu,22,23004,local,2016
Undefined Others,14,23004,local,2016
Yadav,28,23004,local,2016
Badi,13,23003,local,2016
Bhote,185,23003,local,2016
Brahman - Hill,225,23003,local,2016
Chhetri,1958,23003,local,2016
Damai/Dholi,110,23003,local,2016
Gharti/Bhujel,76,23003,local,2016
Gurung,148,23003,local,2016
Hyolmo,47,23003,local,2016
Jirel,13,23003,local,2016
Kami,1520,23003,local,2016
Magar,251,23003,local,2016
Newar,2182,23003,local,2016
Others,86,23003,local,2016
Rai,28,23003,local,2016
Sarki,11,23003,local,2016
Sherpa,4626,23003,local,2016
Tamang,4272,23003,local,2016
Teli,14,23003,local,2016
Thami,838,23003,local,2016
Tharu,28,23003,local,2016
Brahman - Hill,1400,23005,local,2016
Chhetri,1742,23005,local,2016
Damai/Dholi,148,23005,local,2016
Foreigner,221,23005,local,2016
Ghale,22,23005,local,2016
Gharti/Bhujel,139,23005,local,2016
Gurung,56,23005,local,2016
Hyolmo,3270,23005,local,2016
Kami,615,23005,local,2016
Magar,179,23005,local,2016
Newar,253,23005,local,2016
Others,84,23005,local,2016
Sanyasi/Dasnami,936,23005,local,2016
Sarki,92,23005,local,2016
Sherpa,195,23005,local,2016
Sonar,21,23005,local,2016
Tamang,8298,23005,local,2016
Brahman - Hill,3414,23001,local,2016
Chhetri,4584,23001,local,2016
Damai/Dholi,587,23001,local,2016
Gharti/Bhujel,450,23001,local,2016
Gurung,114,23001,local,2016
Hajam/Thakur,12,23001,local,2016
Kami,573,23001,local,2016
Limbu,12,23001,local,2016
Magar,101,23001,local,2016
Majhi,102,23001,local,2016
Newar,2459,23001,local,2016
Others,68,23001,local,2016
Rai,11,23001,local,2016
Sanyasi/Dasnami,88,23001,local,2016
Sarki,212,23001,local,2016
Sherpa,17,23001,local,2016
Tamang,6037,23001,local,2016
Thakuri,33,23001,local,2016
Thami,17,23001,local,2016
Tharu,18,23001,local,2016
Badi,20,23009,local,2016
Brahman - Hill,9265,23009,local,2016
Chhetri,6962,23009,local,2016
Damai/Dholi,1029,23009,local,2016
Danuwar,1294,23009,local,2016
Ghale,270,23009,local,2016
Gharti/Bhujel,315,23009,local,2016
Gurung,555,23009,local,2016
Hajam/Thakur,21,23009,local,2016
Hyolmo,21,23009,local,2016
Kami,1164,23009,local,2016
Magar,432,23009,local,2016
Majhi,1329,23009,local,2016
Newar,1673,23009,local,2016
Others,130,23009,local,2016
Rai,34,23009,local,2016
Sanyasi/Dasnami,2493,23009,local,2016
Sarki,1248,23009,local,2016
Sherpa,145,23009,local,2016
Sonar,12,23009,local,2016
Tamang,16833,23009,local,2016
Teli,14,23009,local,2016
Thakuri,13,23009,local,2016
Tharu,18,23009,local,2016
Undefined Others,21,23009,local,2016
Yadav,32,23009,local,2016
Brahman - Hill,632,23012,local,2016
Chhetri,3357,23012,local,2016
Damai/Dholi,223,23012,local,2016
Gharti/Bhujel,50,23012,local,2016
Gurung,500,23012,local,2016
Jirel,176,23012,local,2016
Kami,508,23012,local,2016
Magar,86,23012,local,2016
Newar,3383,23012,local,2016
Others,47,23012,local,2016
Pahari,277,23012,local,2016
Sarki,70,23012,local,2016
Sherpa,78,23012,local,2016
Tamang,354,23012,local,2016
Thami,3456,23012,local,2016
Brahman - Hill,1571,23002,local,2016
Chhetri,6847,23002,local,2016
Dalit Others,11,23002,local,2016
Damai/Dholi,374,23002,local,2016
Ghale,22,23002,local,2016
Gharti/Bhujel,207,23002,local,2016
Gurung,469,23002,local,2016
Hyolmo,26,23002,local,2016
Jirel,64,23002,local,2016
Kalwar,20,23002,local,2016
Kami,974,23002,local,2016
Magar,682,23002,local,2016
Majhi,25,23002,local,2016
Newar,3915,23002,local,2016
Others,114,23002,local,2016
Rai,16,23002,local,2016
Sanyasi/Dasnami,13,23002,local,2016
Sarki,53,23002,local,2016
Sherpa,1429,23002,local,2016
Tamang,9243,23002,local,2016
Teli,30,23002,local,2016
Thami,430,23002,local,2016
Bhote,28,23010,local,2016
Brahman - Hill,539,23010,local,2016
Chhetri,2728,23010,local,2016
Damai/Dholi,274,23010,local,2016
Danuwar,91,23010,local,2016
Gharti/Bhujel,203,23010,local,2016
Gurung,307,23010,local,2016
Hyolmo,1140,23010,local,2016
Kami,747,23010,local,2016
Magar,50,23010,local,2016
Newar,953,23010,local,2016
Others,72,23010,local,2016
Sanyasi/Dasnami,731,23010,local,2016
Sarki,379,23010,local,2016
Sherpa,135,23010,local,2016
Tamang,12446,23010,local,2016
Thakuri,25,23010,local,2016
Yadav,12,23010,local,2016
Badhaee,44,12,district,2016
Badi,816,12,district,2016
Bangali,194,12,district,2016
Bantar/Sardar,11,12,district,2016
