main type of cooking fuel,total,geo_code,geo_level,geo_version
Electricity Fuel,11,27002,local,2016
KeroseneFuel,761,27002,local,2016
LP Gas,15594,27002,local,2016
Not Stated about Fuel,165,27002,local,2016
OthersFuel,80,27002,local,2016
Wood/FireWood,3874,27002,local,2016
Bio-Gas Fuel,20,27005,local,2016
Cow Dung,4,27005,local,2016
Electricity Fuel,6,27005,local,2016
KeroseneFuel,358,27005,local,2016
LP Gas,10936,27005,local,2016
Not Stated about Fuel,101,27005,local,2016
OthersFuel,21,27005,local,2016
Wood/FireWood,2883,27005,local,2016
Bio-Gas Fuel,18,27001,local,2016
Cow Dung,13,27001,local,2016
Electricity Fuel,7,27001,local,2016
KeroseneFuel,633,27001,local,2016
LP Gas,23446,27001,local,2016
Not Stated about Fuel,159,27001,local,2016
OthersFuel,28,27001,local,2016
Wood/FireWood,2181,27001,local,2016
Bio-Gas Fuel,25,27004,local,2016
Cow Dung,9,27004,local,2016
Electricity Fuel,11,27004,local,2016
KeroseneFuel,1268,27004,local,2016
LP Gas,23080,27004,local,2016
Not Stated about Fuel,292,27004,local,2016
OthersFuel,30,27004,local,2016
