Agricultural land use area,total,geo_code,geo_level,geo_version
Temporary Fallow,256,31009,local,2016
Temporary Meadows,84,31009,local,2016
Other Land,1789,31009,local,2016
Ponds,0,31009,local,2016
Woodland And Forest,341,31009,local,2016
Arable Land,29103,31007,local,2016
Meadows And Pasture,218,31007,local,2016
Permanent Crops,351,31007,local,2016
Temporary Crops,28764,31007,local,2016
Temporary Fallow,256,31007,local,2016
Temporary Meadows,84,31007,local,2016
Other Land,1789,31007,local,2016
Ponds,0,31007,local,2016
Woodland And Forest,341,31007,local,2016
Arable Land,29103,31004,local,2016
Meadows And Pasture,218,31004,local,2016
Permanent Crops,351,31004,local,2016
Temporary Crops,28764,31004,local,2016
Temporary Fallow,256,31004,local,2016
Temporary Meadows,84,31004,local,2016
Other Land,1789,31004,local,2016
Ponds,0,31004,local,2016
Woodland And Forest,341,31004,local,2016
Arable Land,30407,36,district,2016
Meadows And Pasture,1350,36,district,2016
Permanent Crops,3149,36,district,2016
Temporary Crops,29082,36,district,2016
Temporary Fallow,968,36,district,2016
Temporary Meadows,356,36,district,2016
Other Land,1636,36,district,2016
Ponds,45,36,district,2016
Woodland And Forest,3121,36,district,2016
Arable Land,30407,24001,local,2016
Meadows And Pasture,1350,24001,local,2016
Permanent Crops,3149,24001,local,2016
Temporary Crops,29082,24001,local,2016
Temporary Fallow,968,24001,local,2016
Temporary Meadows,356,24001,local,2016
Other Land,1636,24001,local,2016
Ponds,45,24001,local,2016
Woodland And Forest,3121,24001,local,2016
Arable Land,30407,24011,local,2016
Meadows And Pasture,1350,24011,local,2016
Permanent Crops,3149,24011,local,2016
Temporary Crops,29082,24011,local,2016
Temporary Fallow,968,24011,local,2016
Temporary Meadows,356,24011,local,2016
Other Land,1636,24011,local,2016
Ponds,45,24011,local,2016
Woodland And Forest,3121,24011,local,2016
Arable Land,30407,24007,local,2016
Meadows And Pasture,1350,24007,local,2016
Permanent Crops,3149,24007,local,2016
Temporary Crops,29082,24007,local,2016
Temporary Fallow,968,24007,local,2016
Temporary Meadows,356,24007,local,2016
Other Land,1636,24007,local,2016
Ponds,45,24007,local,2016
Woodland And Forest,3121,24007,local,2016
Arable Land,30407,24010,local,2016
Meadows And Pasture,1350,24010,local,2016
Permanent Crops,3149,24010,local,2016
