toilet type,total,geo_code,geo_level
Not Stated about Toilet,22,24004,local
Ordinary Toilet,695,24004,local
Without Tiolet,2001,24004,local
Flush toilet (sewerage),33,24013,local
Flush Toilet Septic Tank,3910,24013,local
Not Stated about Toilet,22,24013,local
Ordinary Toilet,263,24013,local
Without Tiolet,648,24013,local
Flush toilet (sewerage),76,24003,local
Flush Toilet Septic Tank,1572,24003,local
Not Stated about Toilet,35,24003,local
Ordinary Toilet,1034,24003,local
Without Tiolet,1796,24003,local
Flush toilet (sewerage),300014,35,district
Flush Toilet Septic Tank,85728,35,district
Not Stated about Toilet,3467,35,district
Ordinary Toilet,41301,35,district
Without Tiolet,5034,35,district
Flush toilet (sewerage),212631,27006,local
Flush Toilet Septic Tank,21668,27006,local
Not Stated about Toilet,2174,27006,local
Ordinary Toilet,17274,27006,local
Without Tiolet,545,27006,local
Flush toilet (sewerage),1162,27002,local
Flush Toilet Septic Tank,15678,27002,local
Not Stated about Toilet,164,27002,local
Ordinary Toilet,3092,27002,local
Without Tiolet,436,27002,local
Flush toilet (sewerage),1238,27005,local
Flush Toilet Septic Tank,8389,27005,local
Not Stated about Toilet,102,27005,local
Ordinary Toilet,4273,27005,local
Without Tiolet,327,27005,local
Flush toilet (sewerage),14023,27001,local
Flush Toilet Septic Tank,8027,27001,local
Not Stated about Toilet,160,27001,local
Ordinary Toilet,4055,27001,local
Without Tiolet,220,27001,local
Flush toilet (sewerage),18642,27004,local
Flush Toilet Septic Tank,4333,27004,local
Not Stated about Toilet,298,27004,local
Ordinary Toilet,3465,27004,local
Without Tiolet,368,27004,local
Flush toilet (sewerage),717,27003,local
Flush Toilet Septic Tank,2926,27003,local
Not Stated about Toilet,38,27003,local
Ordinary Toilet,987,27003,local
Without Tiolet,820,27003,local
Flush toilet (sewerage),7896,27008,local
Flush Toilet Septic Tank,6619,27008,local
Not Stated about Toilet,112,27008,local
Ordinary Toilet,1890,27008,local
Without Tiolet,229,27008,local
Flush toilet (sewerage),809,27009,local
Flush Toilet Septic Tank,2098,27009,local
Not Stated about Toilet,33,27009,local
Ordinary Toilet,1138,27009,local
Without Tiolet,1328,27009,local
Flush toilet (sewerage),11579,27007,local
Flush Toilet Septic Tank,6179,27007,local
Not Stated about Toilet,123,27007,local
Ordinary Toilet,1468,27007,local
Without Tiolet,92,27007,local
Flush toilet (sewerage),11285,27010,local
Flush Toilet Septic Tank,6473,27010,local
Not Stated about Toilet,126,27010,local
Ordinary Toilet,1805,27010,local
Without Tiolet,469,27010,local
Flush toilet (sewerage),20032,27011,local
