language,total,geo_code,geo_level,geo_version
Hindi,51,35006,local,2016
Kham,83,35006,local,2016
Magar,403,35006,local,2016
Maithili,106,35006,local,2016
Nepali,35443,35006,local,2016
Newar,518,35006,local,2016
Not Reported,13,35006,local,2016
Others,41,35006,local,2016
Rai,39,35006,local,2016
Sign Language,20,35006,local,2016
Tamang,7437,35006,local,2016
Tharu,3530,35006,local,2016
Bhojpuri,1182,35004,local,2016
Bote,101,35004,local,2016
Chepang,153,35004,local,2016
Darai,2726,35004,local,2016
Gurung,387,35004,local,2016
Hindi,200,35004,local,2016
Kham,38,35004,local,2016
Kumal,17,35004,local,2016
Magar,535,35004,local,2016
Maithili,353,35004,local,2016
Nepali,33741,35004,local,2016
Newar,499,35004,local,2016
Not Reported,50,35004,local,2016
Others,44,35004,local,2016
Sign Language,22,35004,local,2016
Tamang,1530,35004,local,2016
Tharu,14457,35004,local,2016
Urdu,59,35004,local,2016
Avadhi,11,35007,local,2016
Bhojpuri,1835,35007,local,2016
Bote,59,35007,local,2016
Chepang,218,35007,local,2016
Darai,806,35007,local,2016
Doteli,13,35007,local,2016
Gurung,615,35007,local,2016
Hindi,458,35007,local,2016
Hyolmo/Yholmo,19,35007,local,2016
Kumal,42,35007,local,2016
Magar,523,35007,local,2016
Maithili,452,35007,local,2016
Nepali,49064,35007,local,2016
Newar,1144,35007,local,2016
Not Reported,67,35007,local,2016
Others,76,35007,local,2016
Rai,46,35007,local,2016
Sunuwar,24,35007,local,2016
Tamang,2710,35007,local,2016
Tharu,11565,35007,local,2016
Urdu,104,35007,local,2016
Bhojpuri,107,35003,local,2016
Bote,240,35003,local,2016
Chepang,5231,35003,local,2016
Darai,96,35003,local,2016
Ghale,25,35003,local,2016
Gurung,315,35003,local,2016
Hindi,21,35003,local,2016
Magar,566,35003,local,2016
Maithili,348,35003,local,2016
Nepali,25549,35003,local,2016
Newar,291,35003,local,2016
Not Reported,38,35003,local,2016
Others,56,35003,local,2016
Rai,21,35003,local,2016
Tamang,4428,35003,local,2016
Tharu,5161,35003,local,2016
Avadhi,21,35001,local,2016
Bajjika,25,35001,local,2016
Bangla,178,35001,local,2016
Bhojpuri,4649,35001,local,2016
Bhujel,65,35001,local,2016
Bote,720,35001,local,2016
Chepang,308,35001,local,2016
Chinese,18,35001,local,2016
Darai,2206,35001,local,2016
Doteli,44,35001,local,2016
Dura,25,35001,local,2016
Ghale,112,35001,local,2016
Gurung,11937,35001,local,2016
Hindi,1898,35001,local,2016
Hyolmo/Yholmo,163,35001,local,2016
Kham,124,35001,local,2016
Kumal,209,35001,local,2016
Limbu,109,35001,local,2016
Magar,4861,35001,local,2016
Maithili,2075,35001,local,2016
Majhi,19,35001,local,2016
Nachhiring,15,35001,local,2016
Nepali,218211,35001,local,2016
Newar,6246,35001,local,2016
Not Reported,261,35001,local,2016
Others,155,35001,local,2016
Punjabi,14,35001,local,2016
Rai,300,35001,local,2016
Rajsthani,201,35001,local,2016
Santhali,19,35001,local,2016
Sherpa,32,35001,local,2016
Sign Language,25,35001,local,2016
Sunuwar,52,35001,local,2016
Tamang,9899,35001,local,2016
Thakali,54,35001,local,2016
Tharu,14596,35001,local,2016
Urdu,630,35001,local,2016
Yakkha,26,35001,local,2016
Bhojpuri,969,35005,local,2016
Bhujel,11,35005,local,2016
Bote,869,35005,local,2016
Chepang,972,35005,local,2016
Darai,338,35005,local,2016
Gurung,713,35005,local,2016
Hindi,39,35005,local,2016
Magar,373,35005,local,2016
Maithili,64,35005,local,2016
Nepali,22795,35005,local,2016
Newar,98,35005,local,2016
Not Reported,17,35005,local,2016
Others,46,35005,local,2016
Rai,17,35005,local,2016
Tamang,1134,35005,local,2016
Tharu,9228,35005,local,2016
Achhami,11,38,district,2016
Avadhi,173,38,district,2016
Bahing,81,38,district,2016
Baitadeli,14,38,district,2016
Bajjika,92,38,district,2016
Bangla,354,38,district,2016
Bantawa,471,38,district,2016
Bhojpuri,4735,38,district,2016
Bhujel,23,38,district,2016
Chamling,407,38,district,2016
Chepang,35,38,district,2016
Chinese,18,38,district,2016
Danuwar,922,38,district,2016
Darai,26,38,district,2016
Dhimal,43,38,district,2016
Doteli,309,38,district,2016
Dungmali,24,38,district,2016
Dura,15,38,district,2016
English,520,38,district,2016
French,18,38,district,2016
Ghale,62,38,district,2016
Gurung,2838,38,district,2016
Hindi,2464,38,district,2016
Jirel,63,38,district,2016
Khaling,52,38,district,2016
Kham,132,38,district,2016
Kulung,54,38,district,2016
Kumal,14,38,district,2016
Lapcha,20,38,district,2016
Lhomi,34,38,district,2016
Limbu,2571,38,district,2016
Magar,6612,38,district,2016
Maithili,11392,38,district,2016
Majhi,161,38,district,2016
Mizo,20,38,district,2016
Nachhiring,34,38,district,2016
Nepali,216226,38,district,2016
Newar,138474,38,district,2016
Not Reported,334,38,district,2016
Oriya,38,38,district,2016
Others,1406,38,district,2016
Pahari,2042,38,district,2016
Puma,24,38,district,2016
Punjabi,117,38,district,2016
