education level passed,geo_code,geo_level,sex,total
Post Graduate Equivalent and Above,66,district,Male,529
Primary Education (1-5 Class),66,district,Female,33420
Primary Education (1-5 Class),66,district,Male,39061
Secondary Level (Class 9-10),66,district,Female,6522
Secondary Level (Class 9-10),66,district,Male,8198
SLC and Equivalent,66,district,Female,4682
SLC and Equivalent,66,district,Male,6225
Beginners,23011,local,Female,2212
Beginners,23011,local,Male,2462
Graduate and Equivalent,23011,local,Female,415
Graduate and Equivalent,23011,local,Male,1013
Intermediate and Equivalent,23011,local,Female,2858
Intermediate and Equivalent,23011,local,Male,3297
Level not Stated,23011,local,Female,380
Level not Stated,23011,local,Male,436
Lower Secondary (Class 6-8),23011,local,Female,14308
Lower Secondary (Class 6-8),23011,local,Male,16693
Non Formal Education,23011,local,Female,7512
Non Formal Education,23011,local,Male,7727
Others,23011,local,Female,45
Others,23011,local,Male,95
Post Graduate Equivalent and Above,23011,local,Female,109
Post Graduate Equivalent and Above,23011,local,Male,529
Primary Education (1-5 Class),23011,local,Female,33420
Primary Education (1-5 Class),23011,local,Male,39061
Secondary Level (Class 9-10),23011,local,Female,6522
Secondary Level (Class 9-10),23011,local,Male,8198
SLC and Equivalent,23011,local,Female,4682
SLC and Equivalent,23011,local,Male,6225
Beginners,23008,local,Female,2212
Beginners,23008,local,Male,2462
Graduate and Equivalent,23008,local,Female,415
Graduate and Equivalent,23008,local,Male,1013
Intermediate and Equivalent,23008,local,Female,2858
Intermediate and Equivalent,23008,local,Male,3297
Level not Stated,23008,local,Female,380
Level not Stated,23008,local,Male,436
Lower Secondary (Class 6-8),23008,local,Female,14308
Lower Secondary (Class 6-8),23008,local,Male,16693
Non Formal Education,23008,local,Female,7512
Non Formal Education,23008,local,Male,7727
Others,23008,local,Female,45
Others,23008,local,Male,95
Post Graduate Equivalent and Above,23008,local,Female,109
Post Graduate Equivalent and Above,23008,local,Male,529
Primary Education (1-5 Class),23008,local,Female,33420
Primary Education (1-5 Class),23008,local,Male,39061
Secondary Level (Class 9-10),23008,local,Female,6522
Secondary Level (Class 9-10),23008,local,Male,8198
SLC and Equivalent,23008,local,Female,4682
SLC and Equivalent,23008,local,Male,6225
Beginners,23007,local,Female,2212
Beginners,23007,local,Male,2462
Graduate and Equivalent,23007,local,Female,415
Graduate and Equivalent,23007,local,Male,1013
Intermediate and Equivalent,23007,local,Female,2858
Intermediate and Equivalent,23007,local,Male,3297
Level not Stated,23007,local,Female,380
Level not Stated,23007,local,Male,436
Lower Secondary (Class 6-8),23007,local,Female,14308
Lower Secondary (Class 6-8),23007,local,Male,16693
Non Formal Education,23007,local,Female,7512
Non Formal Education,23007,local,Male,7727
Others,23007,local,Female,45
Others,23007,local,Male,95
Post Graduate Equivalent and Above,23007,local,Female,109
Post Graduate Equivalent and Above,23007,local,Male,529
Primary Education (1-5 Class),23007,local,Female,33420
Primary Education (1-5 Class),23007,local,Male,39061
Secondary Level (Class 9-10),23007,local,Female,6522
Secondary Level (Class 9-10),23007,local,Male,8198
SLC and Equivalent,23007,local,Female,4682
SLC and Equivalent,23007,local,Male,6225
Beginners,23006,local,Female,2212
Beginners,23006,local,Male,2462
Graduate and Equivalent,23006,local,Female,415
Graduate and Equivalent,23006,local,Male,1013
Intermediate and Equivalent,23006,local,Female,2858
Intermediate and Equivalent,23006,local,Male,3297
Level not Stated,23006,local,Female,380
Level not Stated,23006,local,Male,436
Lower Secondary (Class 6-8),23006,local,Female,14308
Lower Secondary (Class 6-8),23006,local,Male,16693
Non Formal Education,23006,local,Female,7512
Non Formal Education,23006,local,Male,7727
Others,23006,local,Female,45
Others,23006,local,Male,95
Post Graduate Equivalent and Above,23006,local,Female,109
Post Graduate Equivalent and Above,23006,local,Male,529
Primary Education (1-5 Class),23006,local,Female,33420
Primary Education (1-5 Class),23006,local,Male,39061
Secondary Level (Class 9-10),23006,local,Female,6522
Secondary Level (Class 9-10),23006,local,Male,8198
SLC and Equivalent,23006,local,Female,4682
SLC and Equivalent,23006,local,Male,6225
Beginners,23004,local,Female,2212
Beginners,23004,local,Male,2462
Graduate and Equivalent,23004,local,Female,415
Graduate and Equivalent,23004,local,Male,1013
Intermediate and Equivalent,23004,local,Female,2858
Intermediate and Equivalent,23004,local,Male,3297
Level not Stated,23004,local,Female,380
Level not Stated,23004,local,Male,436
Lower Secondary (Class 6-8),23004,local,Female,14308
Lower Secondary (Class 6-8),23004,local,Male,16693
Non Formal Education,23004,local,Female,7512
Non Formal Education,23004,local,Male,7727
Others,23004,local,Female,45
Others,23004,local,Male,95
Post Graduate Equivalent and Above,23004,local,Female,109
Post Graduate Equivalent and Above,23004,local,Male,529
Primary Education (1-5 Class),23004,local,Female,33420
Primary Education (1-5 Class),23004,local,Male,39061
Secondary Level (Class 9-10),23004,local,Female,6522
Secondary Level (Class 9-10),23004,local,Male,8198
SLC and Equivalent,23004,local,Female,4682
SLC and Equivalent,23004,local,Male,6225
Beginners,23003,local,Female,2212
Beginners,23003,local,Male,2462
Graduate and Equivalent,23003,local,Female,415
Graduate and Equivalent,23003,local,Male,1013
