lighting fuel,total,geo_code,geo_level
Kerosene,10346,52008,local
Not Sated about Light,141,52008,local
Others Type of Light,8277,52008,local
Solar,3275,52008,local
Bio-Gas,86,52002,local
Electricity,25591,52002,local
Kerosene,10346,52002,local
Not Sated about Light,141,52002,local
Others Type of Light,8277,52002,local
Solar,3275,52002,local
Bio-Gas,86,52009,local
Electricity,25591,52009,local
Kerosene,10346,52009,local
Not Sated about Light,141,52009,local
Others Type of Light,8277,52009,local
Solar,3275,52009,local
Bio-Gas,86,52007,local
Electricity,25591,52007,local
Kerosene,10346,52007,local
Not Sated about Light,141,52007,local
Others Type of Light,8277,52007,local
Solar,3275,52007,local
Bio-Gas,86,52006,local
Electricity,25591,52006,local
Kerosene,10346,52006,local
Not Sated about Light,141,52006,local
Others Type of Light,8277,52006,local
Solar,3275,52006,local
Bio-Gas,349,60,district
Electricity,132073,60,district
Kerosene,29451,60,district
Not Sated about Light,1252,60,district
Others Type of Light,322,60,district
Solar,388,60,district
Bio-Gas,349,49010,local
Electricity,132073,49010,local
Kerosene,29451,49010,local
Not Sated about Light,1252,49010,local
Others Type of Light,322,49010,local
Solar,388,49010,local
Bio-Gas,349,49004,local
