geo_code,geo_level,literacy,sex,total,geo_version
31010,local,Not Read/Write,Female,7934,2016
31010,local,Not Read/Write,Male,4000,2016
31010,local,Not Stated,Female,9,2016
31010,local,Not Stated,Male,4,2016
31010,local,Read Only,Female,380,2016
31010,local,Read Only,Male,382,2016
31006,local,Literate,Female,4688,2016
31006,local,Literate,Male,5971,2016
31006,local,Not Read/Write,Female,5419,2016
31006,local,Not Read/Write,Male,4056,2016
31006,local,Not Stated,Female,10,2016
31006,local,Not Stated,Male,6,2016
31006,local,Read Only,Female,361,2016
31006,local,Read Only,Male,412,2016
31003,local,Literate,Female,6511,2016
31003,local,Literate,Male,7609,2016
31003,local,Not Read/Write,Female,4288,2016
31003,local,Not Read/Write,Male,2203,2016
31003,local,Not Stated,Female,6,2016
31003,local,Not Stated,Male,2,2016
31003,local,Read Only,Female,317,2016
31003,local,Read Only,Male,321,2016
31001,local,Literate,Female,6506,2016
31001,local,Literate,Male,8251,2016
31001,local,Not Read/Write,Female,7247,2016
31001,local,Not Read/Write,Male,4377,2016
31001,local,Not Stated,Female,3,2016
31001,local,Not Stated,Male,2,2016
31001,local,Read Only,Female,488,2016
31001,local,Read Only,Male,438,2016
31005,local,Literate,Female,3619,2016
31005,local,Literate,Male,4118,2016
31005,local,Not Read/Write,Female,2905,2016
31005,local,Not Read/Write,Male,1618,2016
31005,local,Not Stated,Female,7,2016
31005,local,Not Stated,Male,4,2016
31005,local,Read Only,Female,190,2016
31005,local,Read Only,Male,209,2016
31002,local,Literate,Female,9111,2016
31002,local,Literate,Male,10686,2016
31002,local,Not Read/Write,Female,8720,2016
31002,local,Not Read/Write,Male,5550,2016
31002,local,Not Stated,Female,10,2016
31002,local,Not Stated,Male,7,2016
31002,local,Read Only,Female,497,2016
31002,local,Read Only,Male,607,2016
31008,local,Literate,Female,10718,2016
31008,local,Literate,Male,11961,2016
31008,local,Not Read/Write,Female,6971,2016
31008,local,Not Read/Write,Male,4172,2016
31008,local,Not Stated,Female,6,2016
31008,local,Not Stated,Male,5,2016
31008,local,Read Only,Female,403,2016
31008,local,Read Only,Male,431,2016
31009,local,Literate,Female,5448,2016
31009,local,Literate,Male,6921,2016
31009,local,Not Read/Write,Female,5608,2016
31009,local,Not Read/Write,Male,4013,2016
31009,local,Not Stated,Female,7,2016
31009,local,Not Stated,Male,6,2016
31009,local,Read Only,Female,374,2016
31009,local,Read Only,Male,466,2016
31007,local,Literate,Female,7378,2016
31007,local,Literate,Male,8467,2016
31007,local,Not Read/Write,Female,4188,2016
31007,local,Not Read/Write,Male,2309,2016
31007,local,Not Stated,Female,3,2016
31007,local,Not Stated,Male,3,2016
31007,local,Read Only,Female,258,2016
31007,local,Read Only,Male,313,2016
31004,local,Literate,Female,52275,2016
31004,local,Literate,Male,59191,2016
31004,local,Not Read/Write,Female,18453,2016
31004,local,Not Read/Write,Male,8452,2016
31004,local,Not Stated,Female,28,2016
31004,local,Not Stated,Male,28,2016
31004,local,Read Only,Female,1744,2016
31004,local,Read Only,Male,1430,2016
36,district,Literate,Female,111733,2016
36,district,Literate,Male,128754,2016
36,district,Not Read/Write,Female,67163,2016
36,district,Not Read/Write,Male,29687,2016
36,district,Not Stated,Female,191,2016
36,district,Not Stated,Male,77,2016
36,district,Read Only,Female,5111,2016
