home ownership,total,geo_code,geo_level,geo_version
Owned House,20130,49001,local,2016
Rental House,13075,49001,local,2016
Institutional House,8,49015,local,2016
Other Type of House,28,49015,local,2016
Owned House,5809,49015,local,2016
Rental House,300,49015,local,2016
Institutional House,86,49009,local,2016
Other Type of House,35,49009,local,2016
Owned House,5244,49009,local,2016
Rental House,422,49009,local,2016
Institutional House,11,49011,local,2016
Other Type of House,94,49011,local,2016
Owned House,11102,49011,local,2016
Rental House,1185,49011,local,2016
Institutional House,178,49016,local,2016
Other Type of House,410,49016,local,2016
Owned House,17372,49016,local,2016
Rental House,3997,49016,local,2016
Institutional House,9,49014,local,2016
Other Type of House,112,49014,local,2016
Owned House,6475,49014,local,2016
Rental House,196,49014,local,2016
Institutional House,3,49008,local,2016
Other Type of House,18,49008,local,2016
Owned House,6640,49008,local,2016
Rental House,149,49008,local,2016
Institutional House,6,49003,local,2016
Other Type of House,24,49003,local,2016
Owned House,7211,49003,local,2016
Rental House,44,49003,local,2016
Institutional House,19,49006,local,2016
Other Type of House,11,49006,local,2016
Owned House,9781,49006,local,2016
Rental House,135,49006,local,2016
Institutional House,0,49005,local,2016
Other Type of House,7,49005,local,2016
Owned House,5574,49005,local,2016
Rental House,12,49005,local,2016
Institutional House,2,49007,local,2016
Other Type of House,2,49007,local,2016
Owned House,5252,49007,local,2016
Rental House,7,49007,local,2016
Institutional House,23,49002,local,2016
Other Type of House,122,49002,local,2016
Owned House,10423,49002,local,2016
Rental House,842,49002,local,2016
Institutional House,309,49013,local,2016
Other Type of House,81,49013,local,2016
Owned House,8596,49013,local,2016
Rental House,3511,49013,local,2016
Institutional House,191,76,district,2016
Other Type of House,351,76,district,2016
Owned House,58461,76,district,2016
Rental House,2842,76,district,2016
Institutional House,74,48004,local,2016
Other Type of House,52,48004,local,2016
Owned House,9587,48004,local,2016
Rental House,569,48004,local,2016
Institutional House,10,48002,local,2016
Other Type of House,18,48002,local,2016
Owned House,5791,48002,local,2016
Rental House,62,48002,local,2016
Institutional House,3,48005,local,2016
Other Type of House,46,48005,local,2016
Owned House,6487,48005,local,2016
Rental House,97,48005,local,2016
Institutional House,31,48001,local,2016
Other Type of House,107,48001,local,2016
Owned House,12329,48001,local,2016
Rental House,948,48001,local,2016
Institutional House,46,48006,local,2016
Other Type of House,98,48006,local,2016
Owned House,10802,48006,local,2016
Rental House,1072,48006,local,2016
Institutional House,2,48007,local,2016
Other Type of House,9,48007,local,2016
Owned House,6178,48007,local,2016
Rental House,41,48007,local,2016
Institutional House,25,48003,local,2016
Other Type of House,21,48003,local,2016
Owned House,7287,48003,local,2016
Rental House,53,48003,local,2016
Institutional House,713,07,district,2016
Other Type of House,639,07,district,2016
Owned House,83430,07,district,2016
Rental House,9911,07,district,2016
Institutional House,8,57002,local,2016
Other Type of House,15,57002,local,2016
Owned House,6538,57002,local,2016
Rental House,29,57002,local,2016
Institutional House,3,57006,local,2016
Other Type of House,9,57006,local,2016
Owned House,5882,57006,local,2016
Rental House,14,57006,local,2016
Institutional House,25,57008,local,2016
Other Type of House,71,57008,local,2016
Owned House,10435,57008,local,2016
Rental House,211,57008,local,2016
Institutional House,14,57001,local,2016
Other Type of House,70,57001,local,2016
Owned House,10741,57001,local,2016
Rental House,241,57001,local,2016
Institutional House,3,57004,local,2016
Other Type of House,104,57004,local,2016
Owned House,10018,57004,local,2016
Rental House,163,57004,local,2016
Institutional House,129,57005,local,2016
Other Type of House,68,57005,local,2016
Owned House,13122,57005,local,2016
Rental House,2164,57005,local,2016
Institutional House,476,57007,local,2016
Other Type of House,206,57007,local,2016
Owned House,20349,57007,local,2016
Rental House,6861,57007,local,2016
Institutional House,55,57003,local,2016
Other Type of House,96,57003,local,2016
Owned House,6345,57003,local,2016
Rental House,228,57003,local,2016
Institutional House,400,50,district,2016
Other Type of House,646,50,district,2016
Owned House,51704,50,district,2016
Rental House,6510,50,district,2016
Institutional House,17,47007,local,2016
Other Type of House,120,47007,local,2016
Owned House,7270,47007,local,2016
Rental House,725,47007,local,2016
Institutional House,8,47005,local,2016
Other Type of House,33,47005,local,2016
Owned House,5851,47005,local,2016
Rental House,117,47005,local,2016
Institutional House,5,47010,local,2016
Other Type of House,24,47010,local,2016
Owned House,3746,47010,local,2016
Rental House,113,47010,local,2016
Institutional House,3,47003,local,2016
Other Type of House,5,47003,local,2016
Owned House,3769,47003,local,2016
Rental House,114,47003,local,2016
Institutional House,3,47008,local,2016
Other Type of House,28,47008,local,2016
Owned House,4421,47008,local,2016
Rental House,195,47008,local,2016
Institutional House,8,47006,local,2016
Other Type of House,49,47006,local,2016
Owned House,4401,47006,local,2016
Rental House,168,47006,local,2016
Institutional House,7,47001,local,2016
Other Type of House,87,47001,local,2016
Owned House,4999,47001,local,2016
Rental House,177,47001,local,2016
Institutional House,331,47009,local,2016
Other Type of House,167,47009,local,2016
Owned House,8572,47009,local,2016
Rental House,4576,47009,local,2016
Institutional House,14,47002,local,2016
Other Type of House,95,47002,local,2016
Owned House,4762,47002,local,2016
Rental House,195,47002,local,2016
Institutional House,4,47004,local,2016
Other Type of House,38,47004,local,2016
Owned House,3913,47004,local,2016
Rental House,130,47004,local,2016
Institutional House,118,58,district,2016
Other Type of House,225,58,district,2016
Owned House,41188,58,district,2016
Rental House,2204,58,district,2016
Institutional House,13,53008,local,2016
Other Type of House,16,53008,local,2016
Owned House,5293,53008,local,2016
Rental House,335,53008,local,2016
Institutional House,7,53001,local,2016
Other Type of House,33,53001,local,2016
Owned House,3893,53001,local,2016
Rental House,85,53001,local,2016
Institutional House,4,53003,local,2016
Other Type of House,9,53003,local,2016
Owned House,3528,53003,local,2016
Rental House,117,53003,local,2016
Institutional House,66,53004,local,2016
Other Type of House,57,53004,local,2016
